
0it [00:00, ?it/s]
14661it [00:00, 146602.10it/s]
67374it [00:00, 370430.01it/s]
120274it [00:00, 442825.33it/s]
168980it [00:00, 460281.89it/s]
215009it [00:00, 453919.23it/s]
264387it [00:00, 467338.17it/s]
311144it [00:00, 451121.71it/s]
356372it [00:00, 442894.13it/s]
403942it [00:00, 452810.26it/s]
449318it [00:01, 422444.92it/s]
499495it [00:01, 445179.36it/s]
544455it [00:01, 403796.44it/s]
593459it [00:01, 427329.88it/s]
641363it [00:01, 394147.24it/s]
697459it [00:01, 438063.72it/s]
756153it [00:01, 478755.57it/s]
816145it [00:01, 512777.58it/s]
877123it [00:01, 540546.22it/s]
937257it [00:02, 558189.26it/s]
993837it [00:02, 462285.71it/s]
1052452it [00:02, 494082.39it/s]
1113386it [00:02, 525004.69it/s]
1172672it [00:02, 543789.45it/s]
1233212it [00:02, 561255.22it/s]
1290683it [00:02, 443750.05it/s]
1347274it [00:02, 473600.34it/s]
1406662it [00:02, 504721.82it/s]
1464931it [00:03, 525760.86it/s]
1523712it [00:03, 543018.70it/s]
1583572it [00:03, 558823.33it/s]
1644963it [00:03, 574722.12it/s]
1705369it [00:03, 583288.95it/s]
1764459it [00:03, 406892.04it/s]
1821581it [00:03, 444056.67it/s]
1881858it [00:03, 482814.80it/s]
1941688it [00:04, 512681.00it/s]
1999681it [00:04, 530806.10it/s]
2060907it [00:04, 553461.04it/s]
2121085it [00:04, 567198.32it/s]
2181409it [00:04, 577601.07it/s]
2241615it [00:04, 584739.36it/s]
2301016it [00:04, 372948.01it/s]
2360955it [00:04, 420668.08it/s]
2420951it [00:05, 462154.22it/s]
2482704it [00:05, 500749.36it/s]
2541115it [00:05, 522581.26it/s]
2601481it [00:05, 544643.68it/s]
2660421it [00:05, 557174.15it/s]
2719361it [00:05, 566367.59it/s]
2780275it [00:05, 578760.19it/s]
2839464it [00:05, 582487.77it/s]
2900244it [00:05, 589946.97it/s]
2961791it [00:05, 597508.38it/s]
3023641it [00:06, 603748.47it/s]
3084352it [00:06, 344993.74it/s]
3144819it [00:06, 395764.05it/s]
3202254it [00:06, 434751.96it/s]
3259215it [00:06, 466808.06it/s]
3318684it [00:06, 499226.34it/s]
3379870it [00:06, 529168.54it/s]
3439509it [00:06, 547669.34it/s]
3498388it [00:07, 559272.07it/s]
3556747it [00:07, 563468.22it/s]
3616777it [00:07, 574144.90it/s]
3679057it [00:07, 588373.68it/s]
3740309it [00:07, 595491.86it/s]
3800501it [00:07, 592836.35it/s]
3862161it [00:07, 599864.34it/s]
